name,year,carbonconc
Kilimanjaro, 2018 ,406.477742824
Kilimanjaro, 2017 ,403.885738621
Kilimanjaro, 2015 ,399.578507067
Kilimanjaro, 2016 ,401.753718672
Mara, 2018 ,406.717736084
Mara, 2017 ,404.783503878
Mara, 2015 ,399.269063912
Mara, 2016 ,402.455700858
Manyara, 2018 ,405.818202931
Manyara, 2017 ,404.517591911
Manyara, 2015 ,399.364424194
Manyara, 2016 ,401.993745811
Arusha, 2018 ,405.975941296
Arusha, 2017 ,404.342315908
Arusha, 2015 ,399.022109723
Arusha, 2016 ,402.729119508
Kagera, 2018 ,405.368792295
Kagera, 2017 ,404.019252812
Kagera, 2015 ,399.738140321
Kagera, 2016 ,402.379876533
Mbeya, 2018 ,406.525937507
Mbeya, 2017 ,404.020891841
Mbeya, 2015 ,399.477017613
Mbeya, 2016 ,402.862128431
Singida, 2018 ,406.473515505
Singida, 2017 ,404.316238435
Singida, 2015 ,399.670116618
Singida, 2016 ,402.614783736
Mtwara, 2018 ,407.682016392
Mtwara, 2017 ,404.202567515
Mtwara, 2015 ,399.659802426
Mtwara, 2016 ,402.448340406
Iringa, 2018 ,406.982605707
Iringa, 2017 ,404.000663316
Iringa, 2015 ,399.719138013
Iringa, 2016 ,402.416710421
Dar es Salaam, 2018 ,405.943099616
Dar es Salaam, 2017 ,404.835588941
Dar es Salaam, 2015 ,399.323120561
Dar es Salaam, 2016 ,402.597578834
Lindi, 2018 ,406.071806223
Lindi, 2017 ,404.642065947
Lindi, 2015 ,400.365935891
Lindi, 2016 ,402.647494074
Tabora, 2018 ,406.286581511
Tabora, 2017 ,404.253564198
Tabora, 2015 ,399.139789216
Tabora, 2016 ,401.95368334
Pwani, 2018 ,406.404939764
Pwani, 2017 ,403.602326333
Pwani, 2015 ,400.210663753
Pwani, 2016 ,402.297965245
Ruvuma, 2018 ,407.090498353
Ruvuma, 2017 ,404.287971877
Ruvuma, 2015 ,398.748555664
Ruvuma, 2016 ,403.220425611
Morogoro, 2018 ,406.769160597
Morogoro, 2017 ,404.116951505
Morogoro, 2015 ,400.088268204
Morogoro, 2016 ,403.263556899
Rukwa, 2018 ,406.722771516
Rukwa, 2017 ,404.72051244
Rukwa, 2015 ,399.563659264
Rukwa, 2016 ,402.503125226
Kigoma, 2018 ,406.745584959
Kigoma, 2017 ,404.526062233
Kigoma, 2015 ,399.396711175
Kigoma, 2016 ,402.725716142
Tanga, 2018 ,406.483904454
Tanga, 2017 ,404.086639422
Tanga, 2015 ,399.788312364
Tanga, 2016 ,402.451223188
Dodoma, 2018 ,406.83453486
Dodoma, 2017 ,404.170298961
Dodoma, 2015 ,399.304240138
Dodoma, 2016 ,402.870895981
Zanzibar South & Central, 2018 ,405.74212148
Zanzibar South & Central, 2017 ,404.643908593
Zanzibar South & Central, 2015 ,398.82968459
Zanzibar South & Central, 2016 ,402.23057719
North Pemba, 2018 ,405.844076918
North Pemba, 2017 ,403.338559759
North Pemba, 2015 ,399.016085405
North Pemba, 2016 ,401.703056436
Zanzibar North, 2018 ,406.142728848
Zanzibar North, 2017 ,404.784470519
Zanzibar North, 2015 ,399.057660511
Zanzibar North, 2016 ,401.741598057
Zanzibar Urban/West, 2018 ,406.03761357
Zanzibar Urban/West, 2017 ,405.201561774
Zanzibar Urban/West, 2015 ,399.201198033
Zanzibar Urban/West, 2016 ,401.987863212
South Pemba, 2018 ,406.373966487
South Pemba, 2017 ,403.857245898
South Pemba, 2015 ,399.033197657
South Pemba, 2016 ,401.633799105
Katavi, 2018 ,407.095889958
Katavi, 2017 ,404.14902975
Katavi, 2015 ,399.639253783
Katavi, 2016 ,402.873401104
Njombe, 2018 ,406.105346422
Njombe, 2017 ,404.086668989
Njombe, 2015 ,399.697395174
Njombe, 2016 ,402.335349275
Geita, 2018 ,406.058949704
Geita, 2017 ,404.427356853
Geita, 2015 ,399.480566909
Geita, 2016 ,401.921743972
Simiyu, 2018 ,406.571372219
Simiyu, 2017 ,404.501167292
Simiyu, 2015 ,399.27824935
Simiyu, 2016 ,402.559275258
Mwanza, 2018 ,405.950313847
Mwanza, 2017 ,404.411257963
Mwanza, 2015 ,399.372252617
Mwanza, 2016 ,402.054523629
Shinyanga, 2018 ,406.616169515
Shinyanga, 2017 ,404.513395827
Shinyanga, 2015 ,399.468444402
Shinyanga, 2016 ,402.226229821
